epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.26,1.16021,4.06498,1.15098,0.03159,0.30547,0.0478,0.03255,1.13698,4.23745,1.04659,0.00016675,0.00016675,0.00016675
2,650.479,1.10301,3.22405,1.07656,0.03114,0.63669,0.15708,0.10794,1.21764,3.8762,1.09644,0.000336802,0.000336802,0.000336802
3,717.176,1.12554,2.37824,1.08757,0.64245,0.07508,0.25795,0.18492,1.24992,3.37337,1.12469,0.000503421,0.000503421,0.000503421
4,914.514,1.10172,1.8998,1.08609,0.54176,0.34135,0.42747,0.28685,1.29851,2.60536,1.19698,0.00064719,0.00064719,0.00064719
5,1480.55,1.08964,1.65249,1.06385,0.29956,0.44975,0.35126,0.23106,1.30921,2.4178,1.17769,0.000640587,0.000640587,0.000640587
6,2082.95,1.03192,1.55053,1.04526,0.32883,0.5344,0.44386,0.28919,1.30482,2.12688,1.20525,0.000633983,0.000633983,0.000633983
7,2357.95,1.02172,1.46877,1.04362,0.45322,0.54964,0.47315,0.32126,1.2961,1.82907,1.17472,0.00062738,0.00062738,0.00062738
8,2692.66,1.02123,1.36696,1.03232,0.40121,0.64861,0.48646,0.31643,1.2721,1.90269,1.1774,0.000620777,0.000620777,0.000620777
9,3210.62,1.0068,1.32936,1.02877,0.50058,0.62106,0.56638,0.38422,1.26119,1.60849,1.15438,0.000614174,0.000614174,0.000614174
10,4996.46,0.99086,1.30961,1.02756,0.44145,0.58187,0.54597,0.36612,1.24655,1.72092,1.14891,0.00060757,0.00060757,0.00060757
11,5079.38,0.96459,1.26191,1.03867,0.44658,0.51577,0.5557,0.38377,1.21331,1.84016,1.15154,0.000600967,0.000600967,0.000600967
12,5166.81,0.96991,1.18298,1.01195,0.45148,0.45212,0.52581,0.36054,1.24747,1.97931,1.15598,0.000594364,0.000594364,0.000594364
13,5252.24,0.93884,1.20922,1.019,0.54901,0.53678,0.55449,0.38602,1.21715,1.74335,1.13078,0.00058776,0.00058776,0.00058776
14,5349.73,0.96224,1.15319,1.01259,0.41513,0.5149,0.48945,0.34345,1.17858,1.96517,1.12177,0.000581157,0.000581157,0.000581157
15,5435.12,0.92708,1.12044,1.0041,0.55749,0.56151,0.55134,0.37317,1.23622,1.58881,1.14829,0.000574554,0.000574554,0.000574554
16,5520.59,0.93463,1.13193,1.00482,0.76747,0.56232,0.68852,0.45177,1.25913,1.19717,1.19577,0.00056795,0.00056795,0.00056795
17,5617.66,0.94604,1.12185,0.99236,0.57776,0.55798,0.589,0.39399,1.22074,1.4826,1.14823,0.000561347,0.000561347,0.000561347
18,5703.56,0.93521,1.12181,0.99525,0.67282,0.65698,0.67623,0.47223,1.23993,1.30119,1.15972,0.000554744,0.000554744,0.000554744
19,5789.59,0.92264,1.07676,0.99928,0.40797,0.58569,0.48968,0.34186,1.23577,2.12124,1.15585,0.000548141,0.000548141,0.000548141
20,5875.28,0.89425,1.05022,0.99439,0.44262,0.5469,0.51336,0.3522,1.24104,2.09945,1.15889,0.000541537,0.000541537,0.000541537
21,5977.76,0.94097,1.02199,0.98749,0.43617,0.56037,0.51152,0.3465,1.23417,1.94412,1.11771,0.000534934,0.000534934,0.000534934
22,6087.14,0.88636,1.0387,0.99238,0.57344,0.58663,0.63351,0.4475,1.18721,1.50044,1.10615,0.000528331,0.000528331,0.000528331
23,8577.5,0.8809,0.97427,0.9748,0.53874,0.66072,0.66355,0.45754,1.21771,1.27901,1.14867,0.000521727,0.000521727,0.000521727
24,8650.68,0.91726,0.98995,0.99659,0.50886,0.63281,0.55948,0.38953,1.21765,1.51448,1.15363,0.000515124,0.000515124,0.000515124
25,8723.93,0.86752,0.93244,0.96616,0.5083,0.65471,0.63289,0.43943,1.22482,1.46803,1.17442,0.000508521,0.000508521,0.000508521
26,8796.94,0.86655,0.95846,0.96465,0.49586,0.54818,0.56222,0.38939,1.22128,1.81579,1.14446,0.000501917,0.000501917,0.000501917
27,8871.57,0.85549,0.92388,0.96524,0.54859,0.54413,0.61051,0.42632,1.21825,1.55943,1.14606,0.000495314,0.000495314,0.000495314
28,8944.46,0.88131,0.92638,0.97092,0.42378,0.63331,0.58847,0.41241,1.2016,1.64654,1.14128,0.000488711,0.000488711,0.000488711
29,9017.6,0.86252,0.90501,0.96572,0.48235,0.54926,0.55304,0.40362,1.19821,1.88919,1.13274,0.000482108,0.000482108,0.000482108
30,9090.64,0.88266,0.92727,0.96433,0.51202,0.57467,0.56691,0.39504,1.24093,1.72362,1.16329,0.000475504,0.000475504,0.000475504
31,9163.54,0.83352,0.86513,0.9683,0.46028,0.57199,0.53709,0.37881,1.22454,1.91198,1.14625,0.000468901,0.000468901,0.000468901
32,9237.29,0.84378,0.86262,0.9628,0.47195,0.58149,0.58154,0.3931,1.23847,1.75072,1.14554,0.000462298,0.000462298,0.000462298
33,9310.75,0.8644,0.88827,0.96475,0.55012,0.43799,0.52859,0.35522,1.25243,1.7023,1.14306,0.000455694,0.000455694,0.000455694
34,9383.15,0.85734,0.90258,0.96756,0.61925,0.60926,0.63637,0.44269,1.21868,1.33816,1.14896,0.000449091,0.000449091,0.000449091
35,9456.09,0.84204,0.86932,0.96439,0.46713,0.53798,0.51843,0.36728,1.1948,1.94639,1.12484,0.000442488,0.000442488,0.000442488
36,9528.86,0.88011,0.84807,0.96266,0.49836,0.64887,0.58444,0.39929,1.23602,1.58702,1.14835,0.000435884,0.000435884,0.000435884
37,9610.82,0.82087,0.83088,0.95927,0.56757,0.63415,0.632,0.43491,1.23336,1.53953,1.17233,0.000429281,0.000429281,0.000429281
38,9685.19,0.83107,0.80932,0.96198,0.5142,0.54297,0.55114,0.38711,1.22195,2.03298,1.1871,0.000422678,0.000422678,0.000422678
39,9758.98,0.8356,0.80733,0.95409,0.55324,0.51875,0.57377,0.40152,1.22287,1.84816,1.18462,0.000416075,0.000416075,0.000416075
40,9831.81,0.82783,0.84488,0.96582,0.52898,0.52324,0.5685,0.39153,1.20974,1.80307,1.14848,0.000409471,0.000409471,0.000409471
41,9904.13,0.83739,0.79784,0.96691,0.55388,0.57035,0.58893,0.40287,1.21843,1.70349,1.15692,0.000402868,0.000402868,0.000402868
42,9977.49,0.81789,0.78363,0.9565,0.50302,0.6027,0.57623,0.39131,1.19137,1.64359,1.12628,0.000396265,0.000396265,0.000396265
43,10050.5,0.79682,0.80037,0.9406,0.59295,0.52899,0.60456,0.4126,1.21327,1.5223,1.13805,0.000389661,0.000389661,0.000389661
44,10133.8,0.81888,0.77839,0.96706,0.49857,0.59304,0.56266,0.3949,1.20327,1.73556,1.13601,0.000383058,0.000383058,0.000383058
45,10207.8,0.80282,0.7754,0.94939,0.4973,0.58379,0.59339,0.40506,1.20449,1.76918,1.13568,0.000376455,0.000376455,0.000376455
46,10278.5,0.79547,0.75553,0.94883,0.50651,0.5648,0.58523,0.39734,1.22424,1.8227,1.15301,0.000369851,0.000369851,0.000369851
47,10348.7,0.82075,0.77009,0.96133,0.5363,0.49986,0.56806,0.39289,1.22947,1.80262,1.15401,0.000363248,0.000363248,0.000363248
48,10419.1,0.78666,0.73133,0.93644,0.57858,0.47125,0.58205,0.40786,1.22263,1.74681,1.14932,0.000356645,0.000356645,0.000356645
49,10489.6,0.79178,0.74184,0.94452,0.498,0.62267,0.5869,0.39608,1.22284,1.60766,1.16376,0.000350042,0.000350042,0.000350042
50,10557,0.78076,0.74962,0.94777,0.55928,0.56231,0.60031,0.41646,1.19636,1.65706,1.13578,0.000343438,0.000343438,0.000343438
51,10611.8,0.79963,0.74327,0.94526,0.5569,0.55121,0.58103,0.40636,1.21332,1.73582,1.16329,0.000336835,0.000336835,0.000336835
52,10680.1,0.80644,0.70748,0.9459,0.50797,0.52381,0.53642,0.36574,1.20619,2.0173,1.1469,0.000330232,0.000330232,0.000330232
53,10753.3,0.79643,0.70204,0.94075,0.57697,0.56385,0.59439,0.40989,1.21542,1.66544,1.16477,0.000323628,0.000323628,0.000323628
54,10820.7,0.78678,0.72517,0.95307,0.51524,0.53831,0.56178,0.39337,1.23087,1.69785,1.17294,0.000317025,0.000317025,0.000317025
55,10886.8,0.81382,0.70184,0.93944,0.53678,0.66453,0.64374,0.44711,1.1911,1.44392,1.15594,0.000310422,0.000310422,0.000310422
