epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.8836,1.1846,4.09175,1.16945,0.03209,0.28895,0.03414,0.02461,1.13388,4.06293,1.04125,0.00016675,0.00016675,0.00016675
2,14.3613,1.1281,3.30595,1.09112,0.03223,0.59,0.11933,0.08752,1.20226,3.74822,1.07164,0.000336802,0.000336802,0.000336802
3,20.7255,1.12697,2.45029,1.08864,0.51762,0.14091,0.23719,0.16671,1.25898,3.21425,1.12483,0.000503421,0.000503421,0.000503421
4,26.9006,1.07954,1.90918,1.07905,0.44422,0.2823,0.36175,0.24145,1.29189,2.50626,1.17726,0.00064719,0.00064719,0.00064719
5,33.203,1.06297,1.62642,1.06639,0.34979,0.46736,0.38381,0.2458,1.29465,1.97151,1.15321,0.000640587,0.000640587,0.000640587
6,39.4356,1.01284,1.5276,1.04052,0.41249,0.5312,0.42791,0.27904,1.30326,1.7432,1.20309,0.000633983,0.000633983,0.000633983
7,45.7409,0.98537,1.47679,1.03704,0.46317,0.49053,0.42871,0.28438,1.30649,1.7917,1.19289,0.00062738,0.00062738,0.00062738
8,52.07,0.9967,1.3531,1.02077,0.52755,0.50036,0.54699,0.37138,1.25524,1.7671,1.18661,0.000620777,0.000620777,0.000620777
9,58.3062,0.9801,1.29951,1.03879,0.47741,0.58627,0.55377,0.36949,1.26442,1.53937,1.17152,0.000614174,0.000614174,0.000614174
10,64.5121,0.97047,1.29413,1.0319,0.54425,0.56208,0.58212,0.39242,1.27427,1.36607,1.1819,0.00060757,0.00060757,0.00060757
11,70.7548,0.94768,1.22425,1.01488,0.40866,0.55718,0.45779,0.3099,1.25007,1.79565,1.17663,0.000600967,0.000600967,0.000600967
12,77.0058,0.95065,1.21015,0.99363,0.49928,0.55152,0.51481,0.35486,1.23847,1.5845,1.14936,0.000594364,0.000594364,0.000594364
13,83.228,0.9195,1.14846,1.00102,0.39067,0.54331,0.42513,0.29631,1.24381,2.01533,1.1375,0.00058776,0.00058776,0.00058776
14,89.424,0.93212,1.13677,1.01076,0.56074,0.53384,0.54832,0.37621,1.24193,1.4648,1.16832,0.000581157,0.000581157,0.000581157
15,95.657,0.95095,1.0933,1.00791,0.61575,0.62024,0.66003,0.4539,1.25018,1.16904,1.18294,0.000574554,0.000574554,0.000574554
